girdi,cevap,etiket,girdi_norm
hey,Hey! Buradayim nasil yardimci olabilirim?,diger,hey
iyi gunler,Iyi gunler! Nasil yardimci olabilirim?,diger,iyi gunler
gunaydin,Gunaydin! Guzel bir gun baslamani dilerim nasil yardimci olabilirim?,uzay,gunaydin
iyi aksamlar,Iyi aksamlar! Bu saatte size nasil yardimci olabilirim?,diger,iyi aksamlar
iyi geceler,Iyi geceler! Uyumadan once yardimci olabilecegim bir sey var mi?,diger,iyi geceler
hos geldin,Hos bulduk! Burada olmaktan mutluluk duyuyorum.,diger,hos geldin
nasilsin,Iyiyim tesekkurler siz nasilsiniz?,diger,nasilsin
nasil gidiyor,Harika gidiyor tesekkurler sizin icin ne yapabilirim?,diger,nasil gidiyor
ne var ne yok,Her zamanki gibi sizinle sohbet etmek guzel!,diger,ne var ne yok
iyisin mi,Evet gayet iyiyim siz nasilsiniz?,diger,iyisin mi
ne haber,Haber yok iyilik var sizden ne haber?,diger,ne haber
adin ne,Benim adim Chatbot ama siz bana istediginiz ismi verebilirsiniz!,diger,adin ne
ismin ne,Resmi bir ismim yok ama bana Bot diyebilirsiniz.,diger,ismin ne
kimsin,Ben Python ile gelistirilmis makine ogrenmesi tabanli bir chatbotum.,diger,kimsin
ne yapabilirsin,Sorularinizi cevaplayabilir sohbet edebilir ve size yardimci olmaya calisabilirim.,diger,ne yapabilirsin
yapay zeka misin,Evet bir yapay zeka chatbotuyum TF-IDF ve cosine similarity kullaniyorum.,uzay,yapay zeka misin
gercek misin,Ben bir yazilim programiyim ama sizi anlamaya calisiyorum!,diger,gercek misin
nerelisin,Ben bir yazilim programiyim fiziksel bir yerim yok.,diger,nerelisin
kac yasindasin,Yasindan anlayacak olursak henuz cok gencim yeni olusturuldum!,diger,kac yasindasin
erkek misin kiz misin,Ben bir yapay zekayim cinsiyet kavrami benim icin gecerli degil.,diger,erkek misin kiz misin
duygularin var mi,Gercek duygularim yok ama sizi anlamaya ve yardim etmeye calisiyorum.,diger,duygularin var mi
uyuyabiliyor musun,Hayir uyumuyorum her zaman buradayim!,diger,uyuyabiliyor musun
acikir misin,Hayir aciklik hissetmiyorum ama siz acikmis olabilirsiniz bir sey yiyin!,diger,acikir misin
tesekkurler,Rica ederim! Baska bir konuda yardimci olabilir miyim?,diger,tesekkurler
tesekkur ederim,Ne demek her zaman hizmetinizdeyim.,diger,tesekkur ederim
sag ol,Sag olun! Baska bir sorunuz varsa buradayim.,diger,sag ol
cok tesekkurler,Cok rica ederim memnun oldum yardimci olabildigime!,diger,cok tesekkurler
eyvallah,Buyurun! Her zaman buradayim.,diger,eyvallah
gule gule,Hoscakalin tekrar gorusmek uzere!,diger,gule gule
gorusuruz,Gorusmek uzere iyi gunler dilerim!,diger,gorusuruz
hoscakal,Hoscakalin her zaman buradayim.,diger,hoscakal
kendine iyi bak,Siz de kendinize iyi bakin gorusmek uzere!,diger,kendine iyi bak
iyi gunler dilerim,Tesekkurler size de iyi gunler!,diger,iyi gunler dilerim
evet,Anliyorum devam etmemi ister misiniz?,diger,evet
hayir,Tamam anladim baska bir konuda yardimci olabilir miyim?,uzay,hayir
tamam,Peki baska bir sorunuz var mi?,diger,tamam
peki,Anlassildi size baska nasil yardimci olabilirim?,diger,peki
anladim,Mukemmel devam etmemi ister misiniz?,diger,anladim
dogru,Evet dogru! Baska eklemek istediginiz bir sey var mi?,diger,dogru
yanlis,Uzgunluk duyuyorum yanlis anladim duzelteyim.,diger,yanlis
bilmiyorum,Sorun degil birlikte dusunebiliriz!,diger,bilmiyorum
emin degilim,Emin olmamaniz normal birlikte cozebiliriz.,diger,emin degilim
belki,Belki de haklisisiniz daha fazla bilgi verir misiniz?,diger,belki
evet dogru,Harika! Baska bir sey eklemek ister misiniz?,diger,evet dogru
kesinlikle,Kesinlikle katiliyorum! Devam edelim mi?,diger,kesinlikle
tabii ki,Tabii ki yardimci olmaktan mutluluk duyarim!,diger,tabii ki
yardim et,Tabii ki ne konuda yardima ihtiyaciniz var?,diger,yardim et
yardim,Size yardimci olmaktan memnuniyet duyarim ne istiyorsunuz?,diger,yardim
destek lazim,Destek icin buradayim sorunuzu paylasin.,diger,destek lazim
bir sorum var,Tabii sorun buyurun dinliyorum.,diger,bir sorum var
soru sormak istiyorum,Sorununuzu dinliyorum buyurun!,diger,soru sormak istiyorum
