soru,cevap,dönem
"Osmanlı Beyliği bağımsızlığını ne zaman ilan etti?","1299 yılında Osmanlı Beyliği Söğüt'te Osman Gazi tarafından bağımsızlığını ilan etti.","kuruluş"
"Osman Gazi devletini ne zaman kurdu?","1299 yılında Osmanlı Beyliği Söğüt'te Osman Gazi tarafından bağımsızlığını ilan etti.","kuruluş"
"Osmanlı Devleti'nin kuruluş yılı nedir?","1299 yılında Osmanlı Beyliği Söğüt'te Osman Gazi tarafından bağımsızlığını ilan etti.","kuruluş"
"Kuruluş tarihi nedir?","1299 yılında Osmanlı Beyliği Söğüt'te Osman Gazi tarafından bağımsızlığını ilan etti.","kuruluş"
"Yundhisar' Köprühisar ve Yenişehir ne zaman fethedildi?","1300 yılında Yundhisar' Köprühisar ve Yenişehir kaleleri fethedildi.","kuruluş"
"Bu kaleler ne zaman Osmanlı toprağı oldu?","1300 yılında Yundhisar' Köprühisar ve Yenişehir kaleleri fethedildi.","kuruluş"
"1300 yılında hangi fetihler yapıldı?","1300 yılında Yundhisar' Köprühisar ve Yenişehir kaleleri fethedildi.","kuruluş"
"1300 yılındaki fetihler nelerdir?","1300 yılında Yundhisar' Köprühisar ve Yenişehir kaleleri fethedildi.","kuruluş"
"Osmanlıların ilk başkenti neresidir?","1300 yılında Yenişehir başkent yapıldı.","kuruluş"
"Yenişehir ne zaman başkent oldu?","1300 yılında Yenişehir başkent yapıldı.","kuruluş"
"Osmanlı Devleti'nin ilk başkenti nedir?","1300 yılında Yenişehir başkent yapıldı.","kuruluş"
"Yenişehir'in başkent oluşu nedir?","1300 yılında Yenişehir başkent yapıldı.","kuruluş"
"İlk Bizans-Osmanlı savaşı hangisidir?","1302 yılındaki Koyunhisar (Bafeus) Muharebesi'nde Osman Gazi Bizans'ı mağlup etti.","kuruluş"
"Osman Gazi Bizans'a karşı ilk büyük zaferini ne zaman kazandı?","1302 yılındaki Koyunhisar (Bafeus) Muharebesi'nde Osman Gazi Bizans'ı mağlup etti.","kuruluş"
"Koyunhisar Muharebesi ne zaman yapıldı?","1302 yılındaki Koyunhisar (Bafeus) Muharebesi'nde Osman Gazi Bizans'ı mağlup etti.","kuruluş"
"Bizans-Osmanlı savaşlarının ilki nedir?","1302 yılındaki Koyunhisar (Bafeus) Muharebesi'nde Osman Gazi Bizans'ı mağlup etti.","kuruluş"
"Osmanlılar İznik'i ne zaman kuşattı?","1303 yılında İznik kuşatıldı ve Marmaracık Kalesi fethedildi.","kuruluş"
"Marmaracık Kalesi ne zaman fethedildi?","1303 yılında İznik kuşatıldı ve Marmaracık Kalesi fethedildi.","kuruluş"
"İznik kuşatması ne zaman oldu?","1303 yılında İznik kuşatıldı ve Marmaracık Kalesi fethedildi.","kuruluş"
"1303 yılındaki askeri faaliyetler nelerdir?","1303 yılında İznik kuşatıldı ve Marmaracık Kalesi fethedildi.","kuruluş"
"Akhisar' Mekece ve Geyve ne zaman ele geçirildi?","1304 yılında Akhisar' Mekece ve Geyve ele geçirildi.","kuruluş"
"Bu yerler ne zaman Osmanlı egemenliğine girdi?","1304 yılında Akhisar' Mekece ve Geyve ele geçirildi.","kuruluş"
"1304 yılındaki fetihler nelerdir?","1304 yılında Akhisar' Mekece ve Geyve ele geçirildi.","kuruluş"
"1304 yılında hangi topraklar kazanıldı?","1304 yılında Akhisar' Mekece ve Geyve ele geçirildi.","kuruluş"
"Kestel' Kete ve Ulubad kaleleri ne zaman fethedildi?","1306 yılında Dimbos zaferi sonucunda Kestel' Kete ve Ulubad kaleleri fethedildi.","kuruluş"
"Dimbos zaferi ne zaman kazanıldı?","1306 yılında Dimbos zaferi sonucunda Kestel' Kete ve Ulubad kaleleri fethedildi.","kuruluş"
"Bu kaleler hangi savaştan sonra Osmanlılara geçti?","1306 yılında Dimbos zaferi sonucunda Kestel' Kete ve Ulubad kaleleri fethedildi.","kuruluş"
"Dimbos Muharebesi'nin sonuçları nelerdir?","1306 yılında Dimbos zaferi sonucunda Kestel' Kete ve Ulubad kaleleri fethedildi.","kuruluş"
"Osmanlıların ilk askeri antlaşması ne zaman yapıldı?","1306 yılında ilk askeri antlaşma yapıldı.","kuruluş"
"İlk askeri antlaşma ne zaman imzalandı?","1306 yılında ilk askeri antlaşma yapıldı.","kuruluş"
"Osmanlı tarihindeki ilk askeri antlaşma nedir?","1306 yılında ilk askeri antlaşma yapıldı.","kuruluş"
"İlk askeri antlaşma hangi yılda yapıldı?","1306 yılında ilk askeri antlaşma yapıldı.","kuruluş"
